hex,sib,type,base,index,scale,disp_size,R
00,False,1,0,,,,0
01,False,1,1,,,,0
02,False,1,2,,,,0
03,False,1,3,,,,0
04 00,True,3,0,0,1,,0
04 01,True,3,1,0,1,,0
04 02,True,3,2,0,1,,0
04 03,True,3,3,0,1,,0
04 04,True,3,4,0,1,,0
04 05 FF FF FF 7F,True,17,0,,,8,0
04 06,True,3,6,0,1,,0
04 07,True,3,7,0,1,,0
04 08,True,3,0,1,1,,0
04 09,True,3,1,1,1,,0
04 0A,True,3,2,1,1,,0
04 0B,True,3,3,1,1,,0
04 0C,True,3,4,1,1,,0
04 0D FF FF FF 7F,True,17,1,,,8,0
04 0E,True,3,6,1,1,,0
04 0F,True,3,7,1,1,,0
04 10,True,3,0,2,1,,0
04 11,True,3,1,2,1,,0
04 12,True,3,2,2,1,,0
04 13,True,3,3,2,1,,0
04 14,True,3,4,2,1,,0
04 15 FF FF FF 7F,True,17,2,,,8,0
04 16,True,3,6,2,1,,0
04 17,True,3,7,2,1,,0
04 18,True,3,0,3,1,,0
04 19,True,3,1,3,1,,0
04 1A,True,3,2,3,1,,0
04 1B,True,3,3,3,1,,0
04 1C,True,3,4,3,1,,0
04 1D FF FF FF 7F,True,17,3,,,8,0
04 1E,True,3,6,3,1,,0
04 1F,True,3,7,3,1,,0
04 20,True,1,0,,,,0
04 21,True,1,1,,,,0
04 22,True,1,2,,,,0
04 23,True,1,3,,,,0
04 24,True,1,4,,,,0
04 25 FF FF FF 7F,True,16,,,,8,0
04 26,True,1,6,,,,0
04 27,True,1,7,,,,0
04 28,True,3,0,5,1,,0
04 29,True,3,1,5,1,,0
04 2A,True,3,2,5,1,,0
04 2B,True,3,3,5,1,,0
04 2C,True,3,4,5,1,,0
04 2D FF FF FF 7F,True,17,5,,,8,0
04 2E,True,3,6,5,1,,0
04 2F,True,3,7,5,1,,0
04 30,True,3,0,6,1,,0
04 31,True,3,1,6,1,,0
04 32,True,3,2,6,1,,0
04 33,True,3,3,6,1,,0
04 34,True,3,4,6,1,,0
04 35 FF FF FF 7F,True,17,6,,,8,0
04 36,True,3,6,6,1,,0
04 37,True,3,7,6,1,,0
04 38,True,3,0,7,1,,0
04 39,True,3,1,7,1,,0
04 3A,True,3,2,7,1,,0
04 3B,True,3,3,7,1,,0
04 3C,True,3,4,7,1,,0
04 3D FF FF FF 7F,True,17,7,,,8,0
04 3E,True,3,6,7,1,,0
04 3F,True,3,7,7,1,,0
04 40,True,5,0,0,2,,0
04 41,True,5,1,0,2,,0
04 42,True,5,2,0,2,,0
04 43,True,5,3,0,2,,0
04 44,True,5,4,0,2,,0
04 45 FF FF FF 7F,True,20,,0,2,8,0
04 46,True,5,6,0,2,,0
04 47,True,5,7,0,2,,0
04 48,True,5,0,1,2,,0
04 49,True,5,1,1,2,,0
04 4A,True,5,2,1,2,,0
04 4B,True,5,3,1,2,,0
04 4C,True,5,4,1,2,,0
04 4D FF FF FF 7F,True,20,,1,2,8,0
04 4E,True,5,6,1,2,,0
04 4F,True,5,7,1,2,,0
04 50,True,5,0,2,2,,0
