hex,RM,R,needs_SIB
00,[eax],eax,False
01,[ecx],eax,False
02,[edx],eax,False
03,[ebx],eax,False
04 00,[eax + eax],eax,True
04 01,[ecx + eax],eax,True
04 02,[edx + eax],eax,True
04 03,[ebx + eax],eax,True
04 04,[esp + eax],eax,True
04 05 FF FF FF 7F,[eax + 0x7fffffff],eax,True
04 06,[esi + eax],eax,True
04 07,[edi + eax],eax,True
04 08,[eax + ecx],eax,True
04 09,[ecx + ecx],eax,True
04 0A,[edx + ecx],eax,True
04 0B,[ebx + ecx],eax,True
04 0C,[esp + ecx],eax,True
04 0D FF FF FF 7F,[ecx + 0x7fffffff],eax,True
04 0E,[esi + ecx],eax,True
04 0F,[edi + ecx],eax,True
04 10,[eax + edx],eax,True
04 11,[ecx + edx],eax,True
04 12,[edx + edx],eax,True
04 13,[ebx + edx],eax,True
04 14,[esp + edx],eax,True
04 15 FF FF FF 7F,[edx + 0x7fffffff],eax,True
04 16,[esi + edx],eax,True
04 17,[edi + edx],eax,True
04 18,[eax + ebx],eax,True
04 19,[ecx + ebx],eax,True
04 1A,[edx + ebx],eax,True
04 1B,[ebx + ebx],eax,True
04 1C,[esp + ebx],eax,True
04 1D FF FF FF 7F,[ebx + 0x7fffffff],eax,True
04 1E,[esi + ebx],eax,True
04 1F,[edi + ebx],eax,True
04 20,[eax],eax,True
04 21,[ecx],eax,True
04 22,[edx],eax,True
04 23,[ebx],eax,True
04 24,[esp],eax,True
04 25 FF FF FF 7F,[0x7fffffff],eax,True
04 26,[esi],eax,True
04 27,[edi],eax,True
04 28,[eax + ebp],eax,True
04 29,[ecx + ebp],eax,True
04 2A,[edx + ebp],eax,True
04 2B,[ebx + ebp],eax,True
04 2C,[esp + ebp],eax,True
04 2D FF FF FF 7F,[ebp + 0x7fffffff],eax,True
04 2E,[esi + ebp],eax,True
04 2F,[edi + ebp],eax,True
04 30,[eax + esi],eax,True
04 31,[ecx + esi],eax,True
04 32,[edx + esi],eax,True
04 33,[ebx + esi],eax,True
04 34,[esp + esi],eax,True
04 35 FF FF FF 7F,[esi + 0x7fffffff],eax,True
04 36,[esi + esi],eax,True
04 37,[edi + esi],eax,True
04 38,[eax + edi],eax,True
04 39,[ecx + edi],eax,True
04 3A,[edx + edi],eax,True
04 3B,[ebx + edi],eax,True
04 3C,[esp + edi],eax,True
04 3D FF FF FF 7F,[edi + 0x7fffffff],eax,True
04 3E,[esi + edi],eax,True
04 3F,[edi + edi],eax,True
04 40,[eax + eax*2],eax,True
04 41,[ecx + eax*2],eax,True
04 42,[edx + eax*2],eax,True
04 43,[ebx + eax*2],eax,True
04 44,[esp + eax*2],eax,True
04 45 FF FF FF 7F,[eax*2 + 0x7fffffff],eax,True
04 46,[esi + eax*2],eax,True
04 47,[edi + eax*2],eax,True
04 48,[eax + ecx*2],eax,True
04 49,[ecx + ecx*2],eax,True
04 4A,[edx + ecx*2],eax,True
04 4B,[ebx + ecx*2],eax,True
04 4C,[esp + ecx*2],eax,True
04 4D FF FF FF 7F,[ecx*2 + 0x7fffffff],eax,True
04 4E,[esi + ecx*2],eax,True
04 4F,[edi + ecx*2],eax,True
04 50,[eax + edx*2],eax,True
04 51,[ecx + edx*2],eax,True
04 52,[edx + edx*2],eax,True
04 53,[ebx + edx*2],eax,True
04 54,[esp + edx*2],eax,True
04 55 FF FF FF 7F,[edx*2 + 0x7fffffff],eax,True
04 56,[esi + edx*2],eax,True
04 57,[edi + edx*2],eax,True
04 58,[eax + ebx*2],eax,True
04 59,[ecx + ebx*2],eax,True
04 5A,[edx + ebx*2],eax,True
04 5B,[ebx + ebx*2],eax,True
04 5C,[esp + ebx*2],eax,True
04 5D FF FF FF 7F,[ebx*2 + 0x7fffffff],eax,True
04 5E,[esi + ebx*2],eax,True
04 5F,[edi + ebx*2],eax,True
04 60,[eax],eax,True
04 61,[ecx],eax,True
04 62,[edx],eax,True
04 63,[ebx],eax,True
04 64,[esp],eax,True
04 65 FF FF FF 7F,[0x7fffffff],eax,True
04 66,[esi],eax,True
04 67,[edi],eax,True
04 68,[eax + ebp*2],eax,True
04 69,[ecx + ebp*2],eax,True
04 6A,[edx + ebp*2],eax,True
04 6B,[ebx + ebp*2],eax,True
04 6C,[esp + ebp*2],eax,True
04 6D FF FF FF 7F,[ebp*2 + 0x7fffffff],eax,True
04 6E,[esi + ebp*2],eax,True
04 6F,[edi + ebp*2],eax,True
04 70,[eax + esi*2],eax,True
04 71,[ecx + esi*2],eax,True
04 72,[edx + esi*2],eax,True
04 73,[ebx + esi*2],eax,True
04 74,[esp + esi*2],eax,True
04 75 FF FF FF 7F,[esi*2 + 0x7fffffff],eax,True
04 76,[esi + esi*2],eax,True
04 77,[edi + esi*2],eax,True
04 78,[eax + edi*2],eax,True
04 79,[ecx + edi*2],eax,True
04 7A,[edx + edi*2],eax,True
04 7B,[ebx + edi*2],eax,True
04 7C,[esp + edi*2],eax,True
04 7D FF FF FF 7F,[edi*2 + 0x7fffffff],eax,True
04 7E,[esi + edi*2],eax,True
04 7F,[edi + edi*2],eax,True
04 80,[eax + eax*4],eax,True
04 81,[ecx + eax*4],eax,True
04 82,[edx + eax*4],eax,True
04 83,[ebx + eax*4],eax,True
04 84,[esp + eax*4],eax,True
04 85 FF FF FF 7F,[eax*4 + 0x7fffffff],eax,True
04 86,[esi + eax*4],eax,True
04 87,[edi + eax*4],eax,True
04 88,[eax + ecx*4],eax,True
04 89,[ecx + ecx*4],eax,True
04 8A,[edx + ecx*4],eax,True
04 8B,[ebx + ecx*4],eax,True
04 8C,[esp + ecx*4],eax,True
04 8D FF FF FF 7F,[ecx*4 + 0x7fffffff],eax,True
04 8E,[esi + ecx*4],eax,True
04 8F,[edi + ecx*4],eax,True
04 90,[eax + edx*4],eax,True
04 91,[ecx + edx*4],eax,True
04 92,[edx + edx*4],eax,True
04 93,[ebx + edx*4],eax,True
04 94,[esp + edx*4],eax,True
04 95 FF FF FF 7F,[edx*4 + 0x7fffffff],eax,True
04 96,[esi + edx*4],eax,True
04 97,[edi + edx*4],eax,True
04 98,[eax + ebx*4],eax,True
04 99,[ecx + ebx*4],eax,True
04 9A,[edx + ebx*4],eax,True
04 9B,[ebx + ebx*4],eax,True
04 9C,[esp + ebx*4],eax,True
04 9D FF FF FF 7F,[ebx*4 + 0x7fffffff],eax,True
04 9E,[esi + ebx*4],eax,True
04 9F,[edi + ebx*4],eax,True
04 A0,[eax],eax,True
04 A1,[ecx],eax,True
04 A2,[edx],eax,True
04 A3,[ebx],eax,True
04 A4,[esp],eax,True
04 A5 FF FF FF 7F,[0x7fffffff],eax,True
04 A6,[esi],eax,True
04 A7,[edi],eax,True
04 A8,[eax + ebp*4],eax,True
04 A9,[ecx + ebp*4],eax,True
04 AA,[edx + ebp*4],eax,True
04 AB,[ebx + ebp*4],eax,True
04 AC,[esp + ebp*4],eax,True
04 AD FF FF FF 7F,[ebp*4 + 0x7fffffff],eax,True
04 AE,[esi + ebp*4],eax,True
04 AF,[edi + ebp*4],eax,True
04 B0,[eax + esi*4],eax,True
04 B1,[ecx + esi*4],eax,True
04 B2,[edx + esi*4],eax,True
04 B3,[ebx + esi*4],eax,True
04 B4,[esp + esi*4],eax,True
04 B5 FF FF FF 7F,[esi*4 + 0x7fffffff],eax,True
04 B6,[esi + esi*4],eax,True
04 B7,[edi + esi*4],eax,True
04 B8,[eax + edi*4],eax,True
04 B9,[ecx + edi*4],eax,True
04 BA,[edx + edi*4],eax,True
04 BB,[ebx + edi*4],eax,True
04 BC,[esp + edi*4],eax,True
04 BD FF FF FF 7F,[edi*4 + 0x7fffffff],eax,True
04 BE,[esi + edi*4],eax,True
04 BF,[edi + edi*4],eax,True
04 C0,[eax + eax*8],eax,True
04 C1,[ecx + eax*8],eax,True
04 C2,[edx + eax*8],eax,True
04 C3,[ebx + eax*8],eax,True
04 C4,[esp + eax*8],eax,True
04 C5 FF FF FF 7F,[eax*8 + 0x7fffffff],eax,True
04 C6,[esi + eax*8],eax,True
04 C7,[edi + eax*8],eax,True
04 C8,[eax + ecx*8],eax,True
04 C9,[ecx + ecx*8],eax,True
04 CA,[edx + ecx*8],eax,True
04 CB,[ebx + ecx*8],eax,True
04 CC,[esp + ecx*8],eax,True
04 CD FF FF FF 7F,[ecx*8 + 0x7fffffff],eax,True
04 CE,[esi + ecx*8],eax,True
04 CF,[edi + ecx*8],eax,True
04 D0,[eax + edx*8],eax,True
04 D1,[ecx + edx*8],eax,True
04 D2,[edx + edx*8],eax,True
04 D3,[ebx + edx*8],eax,True
04 D4,[esp + edx*8],eax,True
04 D5 FF FF FF 7F,[edx*8 + 0x7fffffff],eax,True
04 D6,[esi + edx*8],eax,True
04 D7,[edi + edx*8],eax,True
04 D8,[eax + ebx*8],eax,True
04 D9,[ecx + ebx*8],eax,True
04 DA,[edx + ebx*8],eax,True
04 DB,[ebx + ebx*8],eax,True
04 DC,[esp + ebx*8],eax,True
04 DD FF FF FF 7F,[ebx*8 + 0x7fffffff],eax,True
04 DE,[esi + ebx*8],eax,True
04 DF,[edi + ebx*8],eax,True
04 E0,[eax],eax,True
04 E1,[ecx],eax,True
04 E2,[edx],eax,True
04 E3,[ebx],eax,True
04 E4,[esp],eax,True
04 E5 FF FF FF 7F,[0x7fffffff],eax,True
04 E6,[esi],eax,True
04 E7,[edi],eax,True
04 E8,[eax + ebp*8],eax,True
04 E9,[ecx + ebp*8],eax,True
04 EA,[edx + ebp*8],eax,True
04 EB,[ebx + ebp*8],eax,True
04 EC,[esp + ebp*8],eax,True
04 ED FF FF FF 7F,[ebp*8 + 0x7fffffff],eax,True
04 EE,[esi + ebp*8],eax,True
04 EF,[edi + ebp*8],eax,True
04 F0,[eax + esi*8],eax,True
04 F1,[ecx + esi*8],eax,True
04 F2,[edx + esi*8],eax,True
04 F3,[ebx + esi*8],eax,True
04 F4,[esp + esi*8],eax,True
04 F5 FF FF FF 7F,[esi*8 + 0x7fffffff],eax,True
04 F6,[esi + esi*8],eax,True
04 F7,[edi + esi*8],eax,True
04 F8,[eax + edi*8],eax,True
04 F9,[ecx + edi*8],eax,True
04 FA,[edx + edi*8],eax,True
04 FB,[ebx + edi*8],eax,True
04 FC,[esp + edi*8],eax,True
04 FD FF FF FF 7F,[edi*8 + 0x7fffffff],eax,True
04 FE,[esi + edi*8],eax,True
04 FF,[edi + edi*8],eax,True
05 FF FF FF 7F,[0x7fffffff],eax,False
06,[esi],eax,False
07,[edi],eax,False
08,[eax],ecx,False
09,[ecx],ecx,False
0A,[edx],ecx,False
0B,[ebx],ecx,False
0C 00,[eax + eax],ecx,True
0C 01,[ecx + eax],ecx,True
0C 02,[edx + eax],ecx,True
0C 03,[ebx + eax],ecx,True
0C 04,[esp + eax],ecx,True
0C 05 FF FF FF 7F,[eax + 0x7fffffff],ecx,True
0C 06,[esi + eax],ecx,True
0C 07,[edi + eax],ecx,True
0C 08,[eax + ecx],ecx,True
0C 09,[ecx + ecx],ecx,True
0C 0A,[edx + ecx],ecx,True
0C 0B,[ebx + ecx],ecx,True
0C 0C,[esp + ecx],ecx,True
0C 0D FF FF FF 7F,[ecx + 0x7fffffff],ecx,True
0C 0E,[esi + ecx],ecx,True
0C 0F,[edi + ecx],ecx,True
0C 10,[eax + edx],ecx,True
0C 11,[ecx + edx],ecx,True
0C 12,[edx + edx],ecx,True
0C 13,[ebx + edx],ecx,True
0C 14,[esp + edx],ecx,True
0C 15 FF FF FF 7F,[edx + 0x7fffffff],ecx,True
0C 16,[esi + edx],ecx,True
0C 17,[edi + edx],ecx,True
0C 18,[eax + ebx],ecx,True
0C 19,[ecx + ebx],ecx,True
0C 1A,[edx + ebx],ecx,True
0C 1B,[ebx + ebx],ecx,True
0C 1C,[esp + ebx],ecx,True
0C 1D FF FF FF 7F,[ebx + 0x7fffffff],ecx,True
0C 1E,[esi + ebx],ecx,True
0C 1F,[edi + ebx],ecx,True
0C 20,[eax],ecx,True
0C 21,[ecx],ecx,True
0C 22,[edx],ecx,True
0C 23,[ebx],ecx,True
0C 24,[esp],ecx,True
0C 25 FF FF FF 7F,[0x7fffffff],ecx,True
0C 26,[esi],ecx,True
0C 27,[edi],ecx,True
0C 28,[eax + ebp],ecx,True
0C 29,[ecx + ebp],ecx,True
0C 2A,[edx + ebp],ecx,True
0C 2B,[ebx + ebp],ecx,True
0C 2C,[esp + ebp],ecx,True
0C 2D FF FF FF 7F,[ebp + 0x7fffffff],ecx,True
0C 2E,[esi + ebp],ecx,True
0C 2F,[edi + ebp],ecx,True
0C 30,[eax + esi],ecx,True
0C 31,[ecx + esi],ecx,True
0C 32,[edx + esi],ecx,True
0C 33,[ebx + esi],ecx,True
0C 34,[esp + esi],ecx,True
0C 35 FF FF FF 7F,[esi + 0x7fffffff],ecx,True
0C 36,[esi + esi],ecx,True
0C 37,[edi + esi],ecx,True
0C 38,[eax + edi],ecx,True
0C 39,[ecx + edi],ecx,True
0C 3A,[edx + edi],ecx,True
0C 3B,[ebx + edi],ecx,True
0C 3C,[esp + edi],ecx,True
0C 3D FF FF FF 7F,[edi + 0x7fffffff],ecx,True
0C 3E,[esi + edi],ecx,True
0C 3F,[edi + edi],ecx,True
0C 40,[eax + eax*2],ecx,True
0C 41,[ecx + eax*2],ecx,True
0C 42,[edx + eax*2],ecx,True
0C 43,[ebx + eax*2],ecx,True
0C 44,[esp + eax*2],ecx,True
0C 45 FF FF FF 7F,[eax*2 + 0x7fffffff],ecx,True
0C 46,[esi + eax*2],ecx,True
0C 47,[edi + eax*2],ecx,True
0C 48,[eax + ecx*2],ecx,True
0C 49,[ecx + ecx*2],ecx,True
0C 4A,[edx + ecx*2],ecx,True
0C 4B,[ebx + ecx*2],ecx,True
0C 4C,[esp + ecx*2],ecx,True
0C 4D FF FF FF 7F,[ecx*2 + 0x7fffffff],ecx,True
0C 4E,[esi + ecx*2],ecx,True
0C 4F,[edi + ecx*2],ecx,True
0C 50,[eax + edx*2],ecx,True
0C 51,[ecx + edx*2],ecx,True
0C 52,[edx + edx*2],ecx,True
0C 53,[ebx + edx*2],ecx,True
0C 54,[esp + edx*2],ecx,True
0C 55 FF FF FF 7F,[edx*2 + 0x7fffffff],ecx,True
0C 56,[esi + edx*2],ecx,True
0C 57,[edi + edx*2],ecx,True
0C 58,[eax + ebx*2],ecx,True
0C 59,[ecx + ebx*2],ecx,True
0C 5A,[edx + ebx*2],ecx,True
0C 5B,[ebx + ebx*2],ecx,True
0C 5C,[esp + ebx*2],ecx,True
0C 5D FF FF FF 7F,[ebx*2 + 0x7fffffff],ecx,True
0C 5E,[esi + ebx*2],ecx,True
0C 5F,[edi + ebx*2],ecx,True
0C 60,[eax],ecx,True
0C 61,[ecx],ecx,True
0C 62,[edx],ecx,True
0C 63,[ebx],ecx,True
0C 64,[esp],ecx,True
0C 65 FF FF FF 7F,[0x7fffffff],ecx,True
0C 66,[esi],ecx,True
0C 67,[edi],ecx,True
0C 68,[eax + ebp*2],ecx,True
0C 69,[ecx + ebp*2],ecx,True
0C 6A,[edx + ebp*2],ecx,True
0C 6B,[ebx + ebp*2],ecx,True
0C 6C,[esp + ebp*2],ecx,True
0C 6D FF FF FF 7F,[ebp*2 + 0x7fffffff],ecx,True
0C 6E,[esi + ebp*2],ecx,True
0C 6F,[edi + ebp*2],ecx,True
0C 70,[eax + esi*2],ecx,True
0C 71,[ecx + esi*2],ecx,True
0C 72,[edx + esi*2],ecx,True
0C 73,[ebx + esi*2],ecx,True
0C 74,[esp + esi*2],ecx,True
0C 75 FF FF FF 7F,[esi*2 + 0x7fffffff],ecx,True
0C 76,[esi + esi*2],ecx,True
0C 77,[edi + esi*2],ecx,True
0C 78,[eax + edi*2],ecx,True
0C 79,[ecx + edi*2],ecx,True
0C 7A,[edx + edi*2],ecx,True
0C 7B,[ebx + edi*2],ecx,True
0C 7C,[esp + edi*2],ecx,True
0C 7D FF FF FF 7F,[edi*2 + 0x7fffffff],ecx,True
0C 7E,[esi + edi*2],ecx,True
0C 7F,[edi + edi*2],ecx,True
0C 80,[eax + eax*4],ecx,True
0C 81,[ecx + eax*4],ecx,True
0C 82,[edx + eax*4],ecx,True
0C 83,[ebx + eax*4],ecx,True
0C 84,[esp + eax*4],ecx,True
0C 85 FF FF FF 7F,[eax*4 + 0x7fffffff],ecx,True
0C 86,[esi + eax*4],ecx,True
0C 87,[edi + eax*4],ecx,True
0C 88,[eax + ecx*4],ecx,True
0C 89,[ecx + ecx*4],ecx,True
0C 8A,[edx + ecx*4],ecx,True
0C 8B,[ebx + ecx*4],ecx,True
0C 8C,[esp + ecx*4],ecx,True
0C 8D FF FF FF 7F,[ecx*4 + 0x7fffffff],ecx,True
0C 8E,[esi + ecx*4],ecx,True
0C 8F,[edi + ecx*4],ecx,True
0C 90,[eax + edx*4],ecx,True
